Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7
5,51,44,79,62,23,64
79,57,35,62,33,10,69
29,55,67,37,21,59,34
13,33,22,49,79,21,31
28,67,2,3,63,55,15
14,52,2,65,23,33,55
15,77,72,38,7,80,33
46,58,17,21,30,9,25
6,25,45,28,36,66,26
9,71,56,21,22,45,61
61,50,2,63,21,34,79
19,32,30,64,44,67,61
25,79,34,42,22,17,65
45,13,56,77,72,73,35
80,44,1,28,5,25,54
42,66,28,57,52,50,15
73,6,12,58,19,69,64
74,39,60,11,77,29,4
56,24,15,70,22,59,62
65,50,6,7,55,41,51
68,22,67,25,73,30,14
69,66,3,75,21,78,73
46,20,55,70,37,28,75
39,52,67,22,58,75,49
63,30,5,80,56,12,57
51,19,34,5,37,47,15
68,71,30,69,54,7,66
3,2,27,68,74,18,51
25,50,70,72,31,45,10
12,38,75,63,19,49,6
13,2,34,78,55,77,16
62,72,73,2,44,46,29
28,69,67,71,80,76,79
1,49,63,50,72,45,6
26,55,15,24,60,19,11
57,14,29,20,41,23,67
28,56,15,17,43,68,69
56,5,9,35,69,24,51
57,6,70,43,13,30,79
54,49,22,34,2,62,63
7,11,52,40,39,77,12
69,56,30,76,78,20,12
29,27,16,6,44,28,30
60,2,11,78,12,50,28
8,3,18,7,56,6,36
26,42,77,49,30,51,63
28,15,40,12,69,7,75
23,63,57,51,47,8,6
4,52,38,69,53,27,72
21,4,27,47,80,35,14
47,19,48,68,23,18,69
69,66,37,5,33,12,64
55,35,64,45,48,19,26
36,21,19,12,3,76,48
9,17,15,69,78,43,72
16,53,4,41,36,27,23
12,1,76,53,29,47,62
23,62,47,50,63,20,32
74,16,10,48,73,1,65
56,70,35,60,7,31,46
68,35,17,42,61,41,75
29,21,7,3,59,39,6
13,42,66,18,62,8,56
71,24,74,48,73,37,63
21,30,28,55,8,38,5
67,35,33,72,15,80,54
66,31,9,42,10,49,48
63,80,7,79,28,41,49
21,33,67,12,65,37,80
57,75,64,26,28,47,12
76,51,49,7,64,61,65
75,46,9,2,14,68,30
58,45,11,36,77,4,17
48,16,46,64,62,67,54
40,52,32,20,13,70,62
38,5,55,27,49,4,41
44,79,65,72,33,51,68
75,35,43,4,44,17,36
9,44,5,11,50,27,28
50,13,20,56,75,44,35
18,14,22,41,13,53,1
76,42,48,39,3,41,71
52,65,71,57,5,75,59
64,1,53,21,56,28,60
10,33,36,78,59,76,61
48,24,64,67,70,3,19
54,49,39,23,15,16,5
21,42,20,57,60,6,29
59,74,5,75,48,71,38
11,18,62,19,4,3,40
1,49,66,11,10,13,36
28,49,1,8,5,30,38
26,69,16,37,19,40,73
34,65,70,59,56,26,1
